Plan Type,County,Health Plan Name,Health Plan Offered Telehealth,Telehealth Website Website ,Telehealth Services Phone Number,Health Plan Nurse Advice Line,Special Note,Internal Note
Commercial,Solano,Western Health Advantage,Yes,https://www.westernhealth.com/search-for-providers/virtual-visits/,1-855-356-8053,1-877-793-3655,Western Health Advantage members must complete the online registration process or download the Virtual Care Anywhere app and complete the registration process.,
Medi-Cal Managed Care,Sonoma,Partnership Health Plan of California,No,http://www.partnershiphp.org/Pages/PHC.aspx,,1-866-778-8873,"Kaiser Members: Members assigned to Kaiser should use the Kaiser Advice Nurse Program. For More information about the Kaiser Advice Nurse program, please call the Kaiser Phone number on you Kaiser ID card.
",
Commercial,Sonoma,"Aetna Health of California, Inc.",Yes,https://www.aetna.com/individuals-families/member-rights-resources/covid19/telemedicine.html,1-800-835-2362,1-800-556-1555,Aetna members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Sonoma,Anthem Blue Cross,Yes,https://www.anthem.com/coronavirus/,1-888-548-3432,,Anthem Blue Cross members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Commercial,Sonoma,Blue Shield of California,Yes,https://www.blueshieldca.com/teladoc,1-800-835-2362,1-877-304-0504,Blue Shield of California members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Sonoma,Cigna HealthCare of California,Yes,https://www.mdliveforcigna.com/mdliveforcigna/landing_home,1-888-726-3171,1-800-244-6224,Cigna members must complete the online registration process or download the MD Live app and complete the registration process.,
Commercial,Sonoma,"Health Net of California, Inc.",Yes,https://myaon.healthnet.com/health-wellness/teladoc.html,1-800-835-2387,1-800-893-5597   TTY 711,Health Net members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Sonoma,Kaiser Permanente,Yes,https://healthy.kaiserpermanente.org/ ,Not applicable,Not applicable,Kaiser Permanente encourages members to visit the health plan's website to schedule video or phone appointments or find the phone number of the local Kaiser Permanente facility.,
Medicare Advantage,Sonoma,SCAN Health Plan,Yes,https://www.scanhealthplan.com/supplemental-benefits/telehealth-benefit,1-888-993-4087,Not applicable,"SCAN Health Plan strongly encourages members to first reach out to their primary care physician or care team. Many doctors are now doing appointments by phone. For urgent or after-hours care needs, visit the website or call 1-888-993-4087 to access telehealth through the MD Live service.",
Commercial,Sonoma,Sutter Health Plan,Yes,https://www.sutterhealth.org/myhealthonline/video-visits,Not applicable,1-855-836-3500,Sutter Health Plan members can schedule video visits by either logging onto the My Health Online website or calling-1-800-972-5547.,
Commercial,Sonoma,UnitedHealthcare,Yes,https://www.uhc.com/individual-and-family/member-resources/health-care-tools/virtual-visits,Not applicable,Not applicable,UnitedHeatlhcare members can access telehealth services by signing in to their health plan account.,
Commercial,Sonoma,Western Health Advantage,Yes,https://www.westernhealth.com/search-for-providers/virtual-visits/,1-855-356-8053,1-877-793-3655,Western Health Advantage members must complete the online registration process or download the Virtual Care Anywhere app and complete the registration process.,
Medi-Cal Managed Care,Stanislaus,Health Plan of San Joaquin,No,https://www.hpsj.com/,,1-800-655-8294,,
Commercial,Stanislaus,"Aetna Health of California, Inc.",Yes,https://www.aetna.com/individuals-families/member-rights-resources/covid19/telemedicine.html,1-800-835-2362,1-800-556-1555,Aetna members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Stanislaus,Anthem Blue Cross,Yes,https://www.anthem.com/coronavirus/,1-888-548-3432,,Anthem Blue Cross members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Commercial,Stanislaus,Blue Shield of California,Yes,https://www.blueshieldca.com/teladoc,1-800-835-2362,1-877-304-0504,Blue Shield of California members must complete the online registration process or download the Teledoc app and complete the registration process.,
Medicare Advantage,Stanislaus,Blue Shield of California Promise Health Plan,Yes,https://www.blueshieldca.com/teladoc,1-800-835-2362, 1-800-609-4166,Blue Shield of California Promise Health Plan members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Stanislaus,Cigna HealthCare of California,Yes,https://www.mdliveforcigna.com/mdliveforcigna/landing_home,1-888-726-3171,1-800-244-6224,Cigna members must complete the online registration process or download the MD Live app and complete the registration process.,
Commercial,Stanislaus,"Health Net of California, Inc.",Yes,https://myaon.healthnet.com/health-wellness/teladoc.html,1-800-835-2388,1-800-893-5597   TTY 711,Health Net members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Stanislaus,Kaiser Permanente,Yes,https://healthy.kaiserpermanente.org/ ,Not applicable,Not applicable,Kaiser Permanente encourages members to visit the health plan's website to schedule video or phone appointments or find the phone number of the local Kaiser Permanente facility.,
Medicare Advantage,Stanislaus,SCAN Health Plan,Yes,https://www.scanhealthplan.com/supplemental-benefits/telehealth-benefit,1-888-993-4087,Not applicable,"SCAN Health Plan strongly encourages members to first reach out to their primary care physician or care team. Many doctors are now doing appointments by phone. For urgent or after-hours care needs, visit the website or call 1-888-993-4087 to access telehealth through the MD Live service.",
Commercial,Stanislaus,Sutter Health Plan,Yes,https://www.sutterhealth.org/myhealthonline/video-visits,Not applicable,1-855-836-3500,Sutter Health Plan members can schedule video visits by either logging onto the My Health Online website or calling-1-800-972-5547.,
Commercial,Stanislaus,UnitedHealthcare,Yes,https://www.uhc.com/individual-and-family/member-resources/health-care-tools/virtual-visits,Not applicable,Not applicable,UnitedHeatlhcare members can access telehealth services by signing in to their health plan account.,
Medi-Cal Managed Care,Stanislaus,"Health Net Community Solutions, Inc.",No,https://www.healthnet.com/,,1-800-893-5597   TTY 711,Health Net Community Solutions encourages members to check with their medical provider or care team to see if phone or video visits are an option for their visit.,
Commercial,Sutter,Anthem Blue Cross,Yes,https://www.anthem.com/coronavirus/,1-888-548-3432,,Anthem Blue Cross members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Commercial,Sutter,Blue Shield of California,Yes,https://www.blueshieldca.com/teladoc,1-800-835-2362,1-877-304-0504,Blue Shield of California members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Sutter,Cigna HealthCare of California,Yes,https://www.mdliveforcigna.com/mdliveforcigna/landing_home,1-888-726-3171,1-800-244-6224,Cigna members must complete the online registration process or download the MD Live app and complete the registration process.,
Commercial,Sutter,Kaiser Permanente,Yes,https://healthy.kaiserpermanente.org/ ,Not applicable,Not applicable,Kaiser Permanente encourages members to visit the health plan's website to schedule video or phone appointments or find the phone number of the local Kaiser Permanente facility.,
Commercial,Sutter,Sutter Health Plan,Yes,https://www.sutterhealth.org/myhealthonline/video-visits,Not applicable,1-855-836-3500,Sutter Health Plan members can schedule video visits by either logging onto the My Health Online website or calling-1-800-972-5547.,
Medi-Cal Managed Care,Sutter,California Health and Wellness Plan,No,https://www.cahealthwellness.com/,,1-877-658-0305   TTY 711,California Health and Wellness Plan encourages members to check with their medical provider or care team to see if phone or video visits are an option for their visit.,
Medi-Cal Managed Care,Sutter,Anthem Blue Cross Partnership Plan,Yes,https://mss.anthem.com/california-medicaid/home.html,1-888-548-3432,1-800-224-0336   TTY 711,Anthem Blue Cross Partnership Plan members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Commercial,Tehama,Anthem Blue Cross,Yes,https://www.anthem.com/coronavirus/,1-888-548-3432,,Anthem Blue Cross members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Commercial,Tehama,Blue Shield of California,Yes,https://www.blueshieldca.com/teladoc,1-800-835-2362,1-877-304-0504,Blue Shield of California members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Tehama,Cigna HealthCare of California,Yes,https://www.mdliveforcigna.com/mdliveforcigna/landing_home,1-888-726-3171,1-800-244-6224,Cigna members must complete the online registration process or download the MD Live app and complete the registration process.,
Medi-Cal Managed Care,Tehama,California Health and Wellness Plan,No,https://www.cahealthwellness.com/,,1-877-658-0305   TTY 711,California Health and Wellness Plan encourages members to check with their medical provider or care team to see if phone or video visits are an option for their visit.,
Medi-Cal Managed Care,Tehama,Anthem Blue Cross Partnership Plan,Yes,https://mss.anthem.com/california-medicaid/home.html,1-888-548-3432,1-800-224-0336   TTY 711,Anthem Blue Cross Partnership Plan members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Medi-Cal Managed Care,Trinity,Partnership Health Plan of California,No,http://www.partnershiphp.org/Pages/PHC.aspx,,1-866-778-8873,"Kaiser Members: Members assigned to Kaiser should use the Kaiser Advice Nurse Program. For More information about the Kaiser Advice Nurse program, please call the Kaiser Phone number on you Kaiser ID card.
",
Commercial,Trinity,Anthem Blue Cross,Yes,https://www.anthem.com/coronavirus/,1-888-548-3432,,Anthem Blue Cross members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Commercial,Trinity,Blue Shield of California,Yes,https://www.blueshieldca.com/teladoc,1-800-835-2362,1-877-304-0504,Blue Shield of California members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Trinity,Cigna HealthCare of California,Yes,https://www.mdliveforcigna.com/mdliveforcigna/landing_home,1-888-726-3171,1-800-244-6224,Cigna members must complete the online registration process or download the MD Live app and complete the registration process.,
Commercial,Tulare,"Aetna Health of California, Inc.",Yes,https://www.aetna.com/individuals-families/member-rights-resources/covid19/telemedicine.html,1-800-835-2362,1-800-556-1555,Aetna members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Tulare,Anthem Blue Cross,Yes,https://www.anthem.com/coronavirus/,1-888-548-3432,,Anthem Blue Cross members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Commercial,Tulare,Blue Shield of California,Yes,https://www.blueshieldca.com/teladoc,1-800-835-2362,1-877-304-0504,Blue Shield of California members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Tulare,Cigna HealthCare of California,Yes,https://www.mdliveforcigna.com/mdliveforcigna/landing_home,1-888-726-3171,1-800-244-6224,Cigna members must complete the online registration process or download the MD Live app and complete the registration process.,
Commercial,Tulare,"Health Net of California, Inc.",Yes,https://myaon.healthnet.com/health-wellness/teladoc.html,1-800-835-2389,1-800-893-5597   TTY 711,Health Net members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Tulare,Kaiser Permanente,Yes,https://healthy.kaiserpermanente.org/ ,Not applicable,Not applicable,Kaiser Permanente encourages members to visit the health plan's website to schedule video or phone appointments or find the phone number of the local Kaiser Permanente facility.,
Commercial,Tulare,UnitedHealthcare,Yes,https://www.uhc.com/individual-and-family/member-resources/health-care-tools/virtual-visits,Not applicable,Not applicable,UnitedHeatlhcare members can access telehealth services by signing in to their health plan account.,
Medi-Cal Managed Care,Tulare,"Health Net Community Solutions, Inc.",No,https://www.healthnet.com/,,1-800-893-5597   TTY 711,Health Net Community Solutions encourages members to check with their medical provider or care team to see if phone or video visits are an option for their visit.,
Medi-Cal Managed Care,Tulare,Anthem Blue Cross Partnership Plan,Yes,https://mss.anthem.com/california-medicaid/home.html,1-888-548-3432,1-800-224-0336   TTY 711,Anthem Blue Cross Partnership Plan members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Commercial,Tuolumne,Anthem Blue Cross,Yes,https://www.anthem.com/coronavirus/,1-888-548-3432,,Anthem Blue Cross members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Commercial,Tuolumne,Blue Shield of California,Yes,https://www.blueshieldca.com/teladoc,1-800-835-2362,1-877-304-0504,Blue Shield of California members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Tuolumne,Cigna HealthCare of California,Yes,https://www.mdliveforcigna.com/mdliveforcigna/landing_home,1-888-726-3171,1-800-244-6224,Cigna members must complete the online registration process or download the MD Live app and complete the registration process.,
Medi-Cal Managed Care,Tuolumne,California Health and Wellness Plan,No,https://www.cahealthwellness.com/,,1-877-658-0305   TTY 711,California Health and Wellness Plan encourages members to check with their medical provider or care team to see if phone or video visits are an option for their visit.,
Medi-Cal Managed Care,Tuolumne,Anthem Blue Cross Partnership Plan,Yes,https://mss.anthem.com/california-medicaid/home.html,1-888-548-3432,1-800-224-0336   TTY 711,Anthem Blue Cross Partnership Plan members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Medi-Cal Managed Care,Ventura,Gold Coast Health Plan,No,https://m.goldcoasthealthplan.org/,,1-805-437-5001.   The toll-free number is 1-877-431-1700,,
Commercial,Ventura,"Aetna Health of California, Inc.",Yes,https://www.aetna.com/individuals-families/member-rights-resources/covid19/telemedicine.html,1-800-835-2362,1-800-556-1555,Aetna members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Ventura,Anthem Blue Cross,Yes,https://www.anthem.com/coronavirus/,1-888-548-3432,,Anthem Blue Cross members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Commercial,Ventura,Blue Shield of California,Yes,https://www.blueshieldca.com/teladoc,1-800-835-2362,1-877-304-0504,Blue Shield of California members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Ventura,Cigna HealthCare of California,Yes,https://www.mdliveforcigna.com/mdliveforcigna/landing_home,1-888-726-3171,1-800-244-6224,Cigna members must complete the online registration process or download the MD Live app and complete the registration process.,
Commercial,Ventura,"Health Net of California, Inc.",Yes,https://myaon.healthnet.com/health-wellness/teladoc.html,1-800-835-2390,1-800-893-5597   TTY 711,Health Net members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Ventura,Kaiser Permanente,Yes,https://healthy.kaiserpermanente.org/ ,Not applicable,Not applicable,Kaiser Permanente encourages members to visit the health plan's website to schedule video or phone appointments or find the phone number of the local Kaiser Permanente facility.,
Medicare Advantage,Ventura,SCAN Health Plan,Yes,https://www.scanhealthplan.com/supplemental-benefits/telehealth-benefit,1-888-993-4087,Not applicable,"SCAN Health Plan strongly encourages members to first reach out to their primary care physician or care team. Many doctors are now doing appointments by phone. For urgent or after-hours care needs, visit the website or call 1-888-993-4087 to access telehealth through the MD Live service.",
Commercial,Ventura,UnitedHealthcare,Yes,https://www.uhc.com/individual-and-family/member-resources/health-care-tools/virtual-visits,Not applicable,Not applicable,UnitedHeatlhcare members can access telehealth services by signing in to their health plan account.,
Medi-Cal Managed Care,Yolo,Partnership Health Plan of California,No,http://www.partnershiphp.org/Pages/PHC.aspx,,1-866-778-8873,"Kaiser Members: Members assigned to Kaiser should use the Kaiser Advice Nurse Program. For More information about the Kaiser Advice Nurse program, please call the Kaiser Phone number on you Kaiser ID card.
",
Commercial,Yolo,"Aetna Health of California, Inc.",Yes,https://www.aetna.com/individuals-families/member-rights-resources/covid19/telemedicine.html,1-800-835-2362,1-800-556-1555,Aetna members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Yolo,Anthem Blue Cross,Yes,https://www.anthem.com/coronavirus/,1-888-548-3432,,Anthem Blue Cross members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Commercial,Yolo,Blue Shield of California,Yes,https://www.blueshieldca.com/teladoc,1-800-835-2362,1-877-304-0504,Blue Shield of California members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Yolo,Cigna HealthCare of California,Yes,https://www.mdliveforcigna.com/mdliveforcigna/landing_home,1-888-726-3171,1-800-244-6224,Cigna members must complete the online registration process or download the MD Live app and complete the registration process.,
Commercial,Yolo,"Health Net of California, Inc.",Yes,https://myaon.healthnet.com/health-wellness/teladoc.html,1-800-835-2391,1-800-893-5597   TTY 711,Health Net members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Yolo,Kaiser Permanente,Yes,https://healthy.kaiserpermanente.org/ ,Not applicable,Not applicable,Kaiser Permanente encourages members to visit the health plan's website to schedule video or phone appointments or find the phone number of the local Kaiser Permanente facility.,
Commercial,Yolo,Sutter Health Plan,Yes,https://www.sutterhealth.org/myhealthonline/video-visits,Not applicable,1-855-836-3500,Sutter Health Plan members can schedule video visits by either logging onto the My Health Online website or calling-1-800-972-5547.,
Commercial,Yolo,UnitedHealthcare,Yes,https://www.uhc.com/individual-and-family/member-resources/health-care-tools/virtual-visits,Not applicable,Not applicable,UnitedHeatlhcare members can access telehealth services by signing in to their health plan account.,
Commercial,Yolo,Western Health Advantage,Yes,https://www.westernhealth.com/search-for-providers/virtual-visits/,1-855-356-8053,1-877-793-3655,Western Health Advantage members must complete the online registration process or download the Virtual Care Anywhere app and complete the registration process.,
Commercial,Yuba,Anthem Blue Cross,Yes,https://www.anthem.com/coronavirus/,1-888-548-3432,,Anthem Blue Cross members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
Commercial,Yuba,Blue Shield of California,Yes,https://www.blueshieldca.com/teladoc,1-800-835-2362,1-877-304-0504,Blue Shield of California members must complete the online registration process or download the Teledoc app and complete the registration process.,
Commercial,Yuba,Cigna HealthCare of California,Yes,https://www.mdliveforcigna.com/mdliveforcigna/landing_home,1-888-726-3171,1-800-244-6224,Cigna members must complete the online registration process or download the MD Live app and complete the registration process.,
Commercial,Yuba,Kaiser Permanente,Yes,https://healthy.kaiserpermanente.org/ ,Not applicable,Not applicable,Kaiser Permanente encourages members to visit the health plan's website to schedule video or phone appointments or find the phone number of the local Kaiser Permanente facility.,
Medi-Cal Managed Care,Yuba,California Health and Wellness Plan,No,https://www.cahealthwellness.com/,,1-877-658-0305   TTY 711,California Health and Wellness Plan encourages members to check with their medical provider or care team to see if phone or video visits are an option for their visit.,
Medi-Cal Managed Care,Yuba,Anthem Blue Cross Partnership Plan,Yes,https://mss.anthem.com/california-medicaid/home.html,1-888-548-3432,1-800-224-0336   TTY 711,Anthem Blue Cross Partnership Plan members must complete the online registration process or download the LiveHealth Online app and complete the registration process.,
